id,nomeComune,nomeScientifico,ordine,famiglia,genere,tipo,Diffusione,Quota,Fogliazione,tagMargine,tagDisposizione,tagCorteccia,tagFrutto,descrizioneFoglia,descrizioneCorteccia,descrizioneFrutto,descrizioneChioma,descrizioneDettaglioFoglia
abete_cefalonia,Abete di Cefalonia,Abies cephalonica,Pinales,Pinaceae,Abies,Conifera,Italia,Montagna,Sempreverde,intero,isolati,liscia,pigna,"Foglie aghiformi piatte, rigide e pungenti, inserite a spirale ma disposte su due file pettinate, di colore verde scuro lucido.","Corteccia grigio-bruna, liscia da giovane, che si fessura in placche sottili e irregolari negli esemplari adulti.","Pigna eretta, cilindrico-ovoide, che si disarticola a maturità lasciando l'asse centrale nudo.","Chioma conico-piramidale regolare e densa, con rami orizzontali. Abete endemico della Grecia, diffuso in Italia per rimboschimenti e come ornamentale.","Aghi lunghi 2-3 cm, lineari, piatti, rigidi e pungenti, inseriti a spirale ma disposti su due file pettinate. Pagina superiore verde scuro lucido, inferiore con due bande stomatiche biancastre. Margine intero, apice acuminato. Picciolo corto."
abete_douglas,Abete di Douglas (Douglasia),Pseudotsuga menziesii,Pinales,Pinaceae,Pseudotsuga,Conifera,Italia,Montagna,Sempreverde,intero,isolati,fessurata,strobilo,"Foglie aghiformi piatte, flessibili, isolate, disposte a spazzola. Se sfregate emanano un caratteristico e intenso profumo di limone o arancia.","Corteccia liscia e grigia con bolle di resina da giovane, che diventa spessa, sugherosa e profondamente fessurata in solchi bruni verticali.","Strobilo (pigna) pendulo, ovale, caratterizzato da vistose squame trifide (con tre punte) sporgenti che superano le squame legnose.","Chioma conico-piramidale regolare e slanciata, con rami principali orizzontali e rametti secondari penduli. Raggiunge altezze enormi.","Aghi lunghi 2-3 cm, piatti e flessibili, con apice ottuso e due bande stomatiche biancastre sulla pagina inferiore. Disposti a spirale ma appiattiti su due file laterali (pettinati). Margine intero, sezione trasversale ellittica. Molto aromatici per la presenza di resine."
abete_rosso,Abete rosso,Picea abies,Pinales,Pinaceae,Picea,Conifera,Nord,Montagna,Sempreverde,intero,isolati,squamosa,pigna,"Foglie aghiformi quadrangolari, rigide, pungenti, inserite singolarmente su piccoli cuscinetti, di colore verde scuro.","Corteccia bruno-rossastra, che si sfalda in sottili scaglie rotondeggianti, rivelando strati interni più chiari.","Strobilo (pigna) cilindrico, pendulo, lungo 10-15 cm, con squame legnose a margine ondulato, persistente sui rami.","Chioma conico-piramidale regolare e slanciata, con rami principali orizzontali e rametti secondari penduli. Una delle conifere più diffuse per rimboschimenti.","Aghi lunghi 1-2 cm, quadrangolari, rigidi e pungenti, inseriti singolarmente su piccoli cuscinetti. Colore verde scuro, sezione trasversale quadrangolare. Margine intero, apice acuminato. Sessili."
abetebianco,Abete bianco,Abies alba,Pinales,Pinaceae,Abies,Conifera,"Nord, Centro",Montagna,Sempreverde,intero,isolati,liscia,pigna,"Foglie aghiformi singole, piatte, disposte a pettine. Pagina inferiore con due caratteristiche bande bianco-argentee di stomi.","Corteccia liscia grigio-argentea con sacche di resina, che con l'età  si fessura in placche sottili.","Pigna eretta che si disarticola a maturità , lasciando l'asse centrale nudo sui rami.","Chioma densa e di colore verde scuro con riflessi argentei dovuti alla pagina inferiore degli aghi. Nelle piante isolate porta rami fin dalla base, ma in bosco si spoglia presto. Forma piramidale in gioventù, appiattita sulla sommità nelle piante anziane.","Aghi lunghi 1,5-2,5 cm, lineari, piatti, con apice ottuso o leggermente intaccato. Pagina superiore verde scuro e lucida, inferiore con due bande stomatiche bianco-argentee. Margine intero, sezione trasversale appiattita. Picciolo corto con base dilatata."
acercamp,Acero campestre,Acer campestre,Sapindales,Sapindaceae,Acer,Latifoglia,Italia,"Pianura, Collina",Decidua,lobato,opposte,fessurata,samara,"Foglie opposte, palmatolobate con 3-5 lobi arrotondati e ottusi, margine intero, di colore verde scuro opaco. Picciolo lungo e sottile.","Corteccia fessurata a placche rettangolari grigio-marroni, con costoloni verticali ben evidenti.","Disamara con ali divaricate a 180 gradi, contenente due semi.","Chioma abbastanza densa che diviene rotondeggiante.  Crescita non molto sostenuta in gioventù, diventa presto lenta.","Foglie lunghe 5-10 cm, palmatolobate con 3-5 lobi ottusi e arrotondati, margine intero o leggermente ondulato. Pagina superiore verde scuro opaco, inferiore più chiara con peli sulle nervature. Nervature palmato-reticolate ben evidenti. Picciolo lungo 3-5 cm, spesso rossastro."
acero_minore,Acero minore,Acer monspessulanum,Sapindales,Sapindaceae,Acer,Latifoglia,"Centro, Sud, Sicilia, Sardegna",Collina,Decidua,lobato,opposte,fessurata,samara,"Foglie opposte, piccole, palmatilobate con 3 lobi ottusi e arrotondati, a margine intero o leggermente ondulato, di colore verde scuro lucido.","Corteccia grigio-scura, inizialmente liscia, che con l'età  si fessura longitudinalmente in placche sottili e irregolari.","Disamara con ali divergenti in angolo acuto, contenente due piccoli semi globosi.","Chioma espansa, globosa e mediamente densa, con rami sottili e flessuosi. Albero di piccole dimensioni, tipico delle zone aride collinari.","Foglie lunghe 3-6 cm, piccole e compatte, con 3 lobi principali ottusi e arrotondati, talvolta con due lobi basali più piccoli. Margine intero o leggermente ondulato, coriacee e lucide. Nervature palmato-reticolate, con 3-5 nervature principali. Picciolo sottile, lungo 2-4 cm, spesso arrossato."
acero_monte,Acero di monte,Acer pseudoplatanus,Sapindales,Sapindaceae,Acer,Latifoglia,Italia,"Collina, Montagna",Decidua,lobato,opposte,fessurata,samara,"Foglie opposte, grandi, palmatilobate con 5 lobi acuminati e margine irregolarmente dentato. Pagina inferiore glabra o con peli solo in prossimità  delle nervature.","Corteccia grigio-brunastra, inizialmente liscia, che col tempo si fessura in placche che si sfaldano, rivelando macchie rossastre o giallastre.","Disamara con ali quasi parallele, disposte a V stretto, contenente due semi.","Chioma ampia, densa e arrotondata, con tronco robusto e rami ascendenti. Uno degli aceri più diffusi in montagna.","Foglie grandi, lunghe 10-20 cm, con 5 lobi acuminati e dentati, base cordata o tronca. Margine irregolarmente dentato, pagina superiore verde scuro, inferiore più chiara e glabra. Nervature palmato-reticolate con 5-7 nervature principali. Picciolo lungo 8-15 cm, robusto, spesso rossastro."
acero_napoletano,Acero napoletano,Acer opalus subsp. neapolitanum,Sapindales,Sapindaceae,Acer,Latifoglia,"Centro, Sud","Collina, Montagna",Decidua,lobato,opposte,fessurata,samara,"Foglie opposte, ampie, palmato-lobate con 3-5 lobi brevi e ottusi, a margine intero o leggermente dentato. Pagina inferiore spesso pubescente.","Corteccia grigio-brunastra, inizialmente liscia, che col tempo si fessura sollevandosi in placche quadrangolari o scaglie allungate.","Disamara con ali divaricate che formano un angolo acuto (circa 60-90 gradi), contenente due semi globosi.","Chioma densa, rotondeggiante ed espansa, sorretta da un tronco dritto e robusto. Portamento arboreo maestoso.","Foglie lunghe 8-15 cm, con 3-5 lobi brevi, ottusi e arrotondati, margine intero o dentato. Pagina superiore verde scuro lucido, inferiore spesso pubescente e più chiara. Nervature palmato-reticolate con 3-5 nervature principali. Picciolo lungo 5-10 cm, spesso rossastro e pubescente."
acero_negundo,Acero negundo,Acer negundo,Sapindales,Sapindaceae,Acer,Latifoglia,Italia,Pianura,Decidua,lobato,opposte,fessurata,samara,"Foglie opposte, composte imparipennate con 3-5 foglioline ovato-lanceolate, margine lobato o dentato, di colore verde chiaro.","Corteccia grigio-bruna, liscia da giovane, che si fessura longitudinalmente in costoloni spessi e sugherosi negli esemplari adulti.","Disamara con ali divergenti a V acuto (circa 60-90 gradi), contenente due semi.","Chioma ampia, espansa e irregolare, con rami fragili e portamento disordinato. Acero nordamericano a crescita rapidissima, diffusissimo nelle campagne.","Foglie composte imparipennate, opposte, lunghe 15-30 cm, con 3-5 foglioline ovato-lanceolate, lunghe 5-10 cm, larghe 3-6 cm. Margine lobato o dentato, pagina superiore verde chiaro, inferiore più chiara e glabra. Nervature pennate con 3-5 nervature principali. Picciolo lungo 5-10 cm."
acero_riccio,Acero riccio,Acer platanoides,Sapindales,Sapindaceae,Acer,Latifoglia,"Nord, Centro","Collina, Montagna",Decidua,lobato,opposte,fessurata,samara,"Foglie opposte, grandi, palmatilobate con 5 lobi acuminati interrotti da grandi denti appuntiti. Secernono lattice bianco latte se spezzate.","Corteccia grigio-scura, inizialmente liscia, poi fessurata longitudinalmente in modo fitto e regolare, senza distaccarsi in grandi placche.","Disamara con ali molto divaricate, quasi orizzontali (angolo ottuso di circa 140-180 gradi), piatte.","Chioma ampia, regolare e rotondeggiante, molto densa, che assume una splendida colorazione gialla o rossa in autunno.","Foglie grandi, lunghe 10-18 cm, con 5 lobi acuminati e margine dentato con grandi denti appuntiti. Base cordata o tronca. Pagina superiore verde scuro lucido, inferiore più chiara. Secernono lattice bianco latte. Nervature palmato-reticolate. Picciolo lungo 8-12 cm, spesso arrossato."
